"subj","word","block","seq"
11,"keggif","Pre",23
11,"keggif","Pre",44
11,"keggif","Pre",7
11,"kielif","AF2",29
11,"kielif","AF2",40
11,"kielif","AF2",47
11,"kielif","MN1",24
11,"kielif","MN1",25
11,"kielif","MN1",35
11,"kielif","Pre",13
11,"kielif","Pre",19
11,"kielif","Pre",2
11,"kiggif","AF2",17
11,"kiggif","AF2",28
11,"kiggif","AF2",3
11,"kiggif","MN1",13
11,"kiggif","MN1",48
11,"kiggif","MN1",51
11,"kiggif","Pre",12
11,"kiggif","Pre",33
11,"kiggif","Pre",35
11,"koepif","MN1",33
11,"koepif","MN1",34
11,"koepif","MN1",42
11,"koepif","Pre",21
11,"koepif","Pre",4
11,"koepif","Pre",5
11,"koeppif","AF2",20
11,"koeppif","AF2",49
11,"koeppif","AF2",8
11,"parrif","AF2",16
11,"parrif","AF2",5
11,"parrif","AF2",7
11,"parrif","MN1",16
11,"parrif","MN1",26
11,"parrif","MN1",46
11,"parrif","Pre",15
11,"parrif","Pre",20
11,"parrif","Pre",39
11,"peffif","AF2",19
11,"peffif","AF2",31
11,"peffif","AF2",52
11,"peffif","MN1",20
11,"peffif","MN1",3
11,"peffif","MN1",4
11,"peffif","Pre",26
11,"peffif","Pre",42
11,"peffif","Pre",50
11,"piffif","AF2",18
11,"piffif","AF2",30
11,"piffif","AF2",39
11,"piffif","MN1",19
11,"piffif","MN1",23
11,"piffif","MN1",29
11,"piffif","Pre",10
11,"piffif","Pre",49
11,"piffif","Pre",6
11,"possif","AF2",0
11,"possif","AF2",1
11,"possif","AF2",24
11,"possif","MN1",10
11,"possif","MN1",2
11,"possif","MN1",7
11,"possif","Pre",0
11,"possif","Pre",18
11,"possif","Pre",53
11,"saakif","AF2",11
11,"saakif","AF2",36
11,"saakif","AF2",45
11,"saakif","MN1",15
11,"saakif","MN1",28
11,"saakif","MN1",49
11,"saakif","Pre",30
11,"saakif","Pre",36
11,"saakif","Pre",41
11,"suutif","AF2",10
11,"suutif","AF2",32
11,"suutif","AF2",9
11,"suutif","MN1",17
11,"suutif","MN1",45
11,"suutif","MN1",50
11,"suutif","Pre",24
11,"suutif","Pre",28
11,"suutif","Pre",40
11,"taapif","AF2",23
11,"taapif","AF2",26
11,"taapif","AF2",43
11,"taapif","MN1",0
11,"taapif","MN1",39
11,"taapif","MN1",41
11,"taapif","Pre",11
11,"taapif","Pre",29
11,"taapif","Pre",32
11,"tessif","AF2",34
11,"tessif","AF2",42
11,"tessif","AF2",46
11,"tessif","MN1",6
11,"tessif","MN1",8
11,"tessif","MN1",9
11,"tessif","Pre",1
11,"tessif","Pre",45
11,"tessif","Pre",47
11,"tiekif","AF2",4
11,"tiekif","AF2",53
11,"tiekif","AF2",6
11,"tiekif","MN1",1
11,"tiekif","MN1",22
11,"tiekif","MN1",38
11,"tiekif","Pre",17
11,"tiekif","Pre",22
11,"tiekif","Pre",37
11,"tissif","AF2",33
11,"tissif","AF2",41
11,"tissif","AF2",50
11,"tissif","MN1",31
11,"tissif","MN1",32
11,"tissif","MN1",53
11,"tissif","Pre",14
11,"tissif","Pre",27
11,"tissif","Pre",52
12,"fassif","AF2",11
12,"fassif","AF2",33
12,"fassif","AF2",53
12,"fassif","MN1",12
12,"fassif","MN1",21
12,"fassif","MN1",35
12,"fassif","Pre",17
12,"fassif","Pre",42
12,"fassif","Pre",50
12,"foelif","Pre",12
12,"foelif","Pre",24
12,"foelif","Pre",29
12,"foellif","AF2",14
12,"foellif","AF2",15
12,"foellif","AF2",50
12,"foellif","MN1",36
12,"foellif","MN1",50
12,"foellif","MN1",51
12,"gorrif","AF2",28
12,"gorrif","AF2",41
12,"gorrif","AF2",47
12,"gorrif","MN1",1
12,"gorrif","MN1",16
12,"gorrif","MN1",43
12,"gorrif","Pre",37
12,"gorrif","Pre",7
12,"gorrif","Pre",8
12,"guutif","AF2",20
12,"guutif","AF2",44
12,"guutif","AF2",52
12,"guutif","MN1",42
12,"guutif","MN1",5
12,"guutif","MN1",6
12,"guutif","Pre",36
12,"guutif","Pre",39
12,"guutif","Pre",46
12,"keggif","AF2",2
12,"keggif","AF2",23
12,"keggif","AF2",29
12,"keggif","MN1",34
12,"keggif","MN1",4
12,"keggif","MN1",7
12,"keggif","Pre",23
12,"keggif","Pre",26
12,"keggif","Pre",9
12,"kielif","AF2",18
12,"kielif","AF2",21
12,"kielif","AF2",38
12,"kielif","MN1",11
12,"kielif","MN1",3
12,"kielif","MN1",47
12,"kielif","Pre",0
12,"kielif","Pre",25
12,"kielif","Pre",45
12,"kiggif","AF2",30
12,"kiggif","AF2",35
12,"kiggif","AF2",49
12,"kiggif","MN1",23
12,"kiggif","MN1",32
12,"kiggif","MN1",45
12,"kiggif","Pre",10
12,"kiggif","Pre",15
12,"kiggif","Pre",34
