fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_15_kiggif_MN1_53	I	224	608	1598	2473	3399	6	11	14	16
subj_15_kiggif_Pre_10	I	264	442	2385	2899	4224	4	14	15	18
subj_15_kiggif_Pre_13	I	302	543	2398	2979	4201	5	14	16	18
subj_15_kiggif_Pre_22	I	295	600	2349	2912	4070	6	14	15	18
subj_15_piffif_15_Post	I	200	475	2032	2806	4185	5	13	15	18
subj_15_piffif_20_Post	I	194	512	2113	2844	4231	5	13	15	18
subj_15_piffif_46_Post	I	193	517	2002	2787	4037	5	13	15	18
subj_15_piffif_AF2_20	I	263	552	1453	2466	3087	5	11	14	16
subj_15_piffif_AF2_39	I	207	513	1344	2918	3782	5	10	15	17
subj_15_piffif_AF2_48	I	215	652	1483	2798	3289	6	11	15	16
subj_15_piffif_MN1_0	I	240	672	1740	2780	3073	6	12	15	16
subj_15_piffif_MN1_24	I	265	830	2015	3376	4188	7	13	16	18
subj_15_piffif_MN1_46	I	211	423	1596	2712	4075	4	11	15	18
subj_15_piffif_Pre_0	I	292	584	2143	2873	3548	6	13	15	17
subj_15_piffif_Pre_31	I	261	495	1964	2801	4242	5	13	15	18
subj_15_piffif_Pre_42	I	255	522	1902	2841	4274	5	13	15	18
subj_15_tissif_1_Post	I	183	433	2233	3015	4190	4	14	16	18
subj_15_tissif_50_Post	I	198	423	2077	2980	4278	4	13	16	18
subj_15_tissif_7_Post	I	171	381	2145	2997	4233	4	13	16	18
subj_15_tissif_AF2_10	I	220	695	1532	2643	3025	7	11	15	16
subj_15_tissif_AF2_14	I	227	685	1493	2806	2895	6	11	15	15
subj_15_tissif_AF2_22	I	252	664	1501	2657	3104	6	11	15	16
subj_15_tissif_MN1_10	I	260	775	1564	2646	3850	7	11	15	17
subj_15_tissif_MN1_12	I	263	663	1569	2928	3440	6	11	15	17
subj_15_tissif_MN1_20	I	274	687	1410	2617	3840	6	11	15	17
subj_15_tissif_Pre_15	I	276	548	2018	3012	4381	5	13	16	18
subj_15_tissif_Pre_39	I	274	603	2180	3026	4300	6	13	16	18
subj_15_tissif_Pre_46	I	264	531	2081	2990	3425	5	13	16	16
subj_17_kiggif_1_Post	I	249	417	2222	2614	3758	4	14	15	17
subj_17_kiggif_26_Post	I	224	435	2209	2752	3623	4	14	15	17
subj_17_kiggif_46_Post	I	205	411	2042	2618	3551	4	13	15	17
subj_17_kiggif_AF2_39	I	288	378	1460	2326	3504	4	11	14	17
subj_17_kiggif_AF2_40	I	273	537	1702	2228	3640	5	12	14	17
subj_17_kiggif_AF2_52	I	251	511	1543	2245	3700	5	11	14	17
subj_17_kiggif_MN1_17	I	322	636	1628	2275	3761	6	12	14	17
subj_17_kiggif_MN1_21	I	305	594	1516	2383	3648	6	11	14	17
subj_17_kiggif_MN1_47	I	290	558	1409	2492	3441	5	11	14	17
subj_17_kiggif_Pre_20	I	238	449	2210	2992	3788	5	14	16	17
subj_17_kiggif_Pre_47	I	237	451	2144	2722	3709	5	13	15	17
subj_17_kiggif_Pre_8	I	232	450	2205	2846	3696	5	14	15	17
subj_17_piffif_3_Post	I	231	465	1932	2672	3805	5	13	15	17
subj_17_piffif_44_Post	I	231	474	1843	2656	4171	5	12	15	18
subj_17_piffif_50_Post	I	215	441	1871	2604	3523	4	12	15	17
subj_17_piffif_AF2_22	I	264	469	1331	2746	3690	5	10	15	17
subj_17_piffif_AF2_29	I	266	365	1305	2566	3727	4	10	15	17
subj_17_piffif_AF2_50	I	246	495	1240	2222	3772	5	10	14	17
subj_17_piffif_MN1_1	I	333	659	1636	2378	3992	6	12	14	18
subj_17_piffif_MN1_20	I	285	600	1439	2389	3966	6	11	14	18
subj_17_piffif_MN1_37	I	310	616	1257	2168	3958	6	10	13	18
subj_17_piffif_Pre_19	I	246	485	1840	2716	3918	5	12	15	17
subj_17_piffif_Pre_51	I	243	481	1948	2693	4019	5	13	15	18
subj_17_piffif_Pre_7	I	239	474	1991	2641	3814	5	13	15	17
subj_17_tissif_2_Post	I	245	481	1854	2856	3986	5	12	15	18
subj_17_tissif_38_Post	I	207	416	1803	2820	3987	4	12	15	18
subj_17_tissif_45_Post	I	228	441	1786	2855	4107	4	12	15	18
subj_17_tissif_AF2_15	I	239	481	1478	2550	3553	5	11	15	17
subj_17_tissif_AF2_31	I	260	527	1141	2785	3745	5	9	15	17
subj_17_tissif_AF2_49	I	247	503	1418	2250	3711	5	11	14	17
subj_17_tissif_MN1_34	I	288	539	1428	2250	3589	5	11	14	17
subj_17_tissif_MN1_38	I	311	559	1234	2189	3322	5	10	14	16
subj_17_tissif_MN1_48	I	306	577	1396	2292	3562	6	11	14	17
