"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F1Bark","F2Bark","gender","BB","AF","F1erb","F2erb"
"91","subj_15_piffif_20_Post","15","piffif","4",20,"I",194,512,2113,5,13,"F","BB","AF",10.4466689187518,22.5037486933236
"92","subj_15_piffif_46_Post","15","piffif","4",46,"I",193,517,2002,5,13,"F","BB","AF",10.5105675603729,21.9767150071196
"93","subj_15_piffif_AF2_20","15","piffif","2",20,"I",263,552,1453,5,11,"F","BB","AF",10.9467803615034,18.9258822117959
"94","subj_15_piffif_AF2_39","15","piffif","2",39,"I",207,513,1344,5,10,"F","BB","AF",10.4594812938215,18.2424798098011
"95","subj_15_piffif_AF2_48","15","piffif","2",48,"I",215,652,1483,6,11,"F","BB","AF",12.0970095067898,19.041052307293
"96","subj_15_piffif_Pre_0","15","piffif","1",0,"I",292,584,2143,6,13,"F","BB","AF",11.3295651754343,22.588273151858
"97","subj_15_piffif_Pre_31","15","piffif","1",31,"I",261,495,1964,5,13,"F","BB","AF",10.2263158146629,21.8079429029879
"98","subj_15_piffif_Pre_42","15","piffif","1",42,"I",255,522,1902,5,13,"F","BB","AF",10.5740610688499,21.4795857497128
"99","subj_15_tissif_1_Post","15","tissif","4",1,"I",183,433,2233,4,14,"F","BB","AF",9.37912254550143,23.10148665296
"100","subj_15_tissif_50_Post","15","tissif","4",50,"I",198,423,2077,4,13,"F","BB","AF",9.23556773662135,22.4023130060433
"101","subj_15_tissif_7_Post","15","tissif","4",7,"I",171,381,2145,4,13,"F","BB","AF",8.60942532558487,22.7469187156952
"102","subj_15_tissif_AF2_10","15","tissif","2",10,"I",220,695,1532,7,11,"F","BB","AF",12.5531803764897,19.3106004588051
"103","subj_15_tissif_AF2_14","15","tissif","2",14,"I",227,685,1493,6,11,"F","BB","AF",12.4489698095873,19.0790919855808
"104","subj_15_tissif_AF2_22","15","tissif","2",22,"I",252,664,1501,6,11,"F","BB","AF",12.2264577563679,19.1437664802653
"105","subj_15_tissif_Pre_15","15","tissif","1",15,"I",276,548,2018,5,13,"F","BB","AF",10.8978810053935,22.0309212325707
"106","subj_15_tissif_Pre_39","15","tissif","1",39,"I",274,603,2180,6,13,"F","BB","AF",11.5500572609716,22.7414680804091
"107","subj_15_tissif_Pre_46","15","tissif","1",46,"I",264,531,2081,5,13,"F","BB","AF",10.6873438964686,22.3414084675244
"108","subj_17_kiggif_1_Post","17","kiggif","4",1,"I",249,417,2222,4,14,"F","BB","AF",9.1484482576051,23.0649348821101
"109","subj_17_kiggif_26_Post","17","kiggif","4",26,"I",224,435,2209,4,14,"F","BB","AF",9.40759084435813,22.9941727831136
"110","subj_17_kiggif_46_Post","17","kiggif","4",46,"I",205,411,2042,4,13,"F","BB","AF",9.06057385754419,22.2463351309827
"111","subj_17_kiggif_AF2_39","17","kiggif","2",39,"I",288,378,1460,4,11,"F","BB","AF",8.56319055321443,19.0984277532329
"112","subj_17_kiggif_AF2_40","17","kiggif","2",40,"I",273,537,1702,5,12,"F","BB","AF",10.7621589334801,20.4110159009032
"113","subj_17_kiggif_AF2_52","17","kiggif","2",52,"I",251,511,1543,5,11,"F","BB","AF",10.4338401408233,19.5115179004744
"114","subj_17_kiggif_Pre_20","17","kiggif","1",20,"I",238,449,2210,5,14,"F","BB","AF",9.60465610829522,22.9882614605629
"115","subj_17_kiggif_Pre_47","17","kiggif","1",47,"I",237,451,2144,5,13,"F","BB","AF",9.63249717374334,22.6905763254087
"116","subj_17_kiggif_Pre_8","17","kiggif","1",8,"I",232,450,2205,5,14,"F","BB","AF",9.61858623526041,22.9653560639021
"117","subj_17_piffif_3_Post","17","piffif","4",3,"I",231,465,1932,5,13,"F","BB","AF",9.82526338254348,21.6718851973346
"118","subj_17_piffif_44_Post","17","piffif","4",44,"I",231,474,1843,5,12,"F","BB","AF",9.94726617760621,21.2132076545197
"119","subj_17_piffif_50_Post","17","piffif","4",50,"I",215,441,1871,4,12,"F","BB","AF",9.4925181948163,21.3817559329544
"120","subj_17_piffif_AF2_22","17","piffif","2",22,"I",264,469,1331,5,10,"F","BB","AF",9.87966933360082,18.1868426583678
"121","subj_17_piffif_AF2_29","17","piffif","2",29,"I",266,365,1305,4,10,"F","BB","AF",8.36038107058361,18.0856151436298
"122","subj_17_piffif_AF2_50","17","piffif","2",50,"I",246,495,1240,5,10,"F","BB","AF",10.2263158146629,17.5312280973887
"123","subj_17_piffif_Pre_19","17","piffif","1",19,"I",246,485,1840,5,12,"F","BB","AF",10.0944004193164,21.189541787946
"124","subj_17_piffif_Pre_51","17","piffif","1",51,"I",243,481,1948,5,13,"F","BB","AF",10.04114568935,21.7394517343037
"125","subj_17_piffif_Pre_7","17","piffif","1",7,"I",239,474,1991,5,13,"F","BB","AF",9.94726617760621,21.955140247169
"126","subj_17_tissif_2_Post","17","tissif","4",2,"I",245,481,1854,5,12,"F","BB","AF",10.04114568935,21.2649203695444
"127","subj_17_tissif_38_Post","17","tissif","4",38,"I",207,416,1803,4,12,"F","BB","AF",9.13385528602651,21.0467612995054
"128","subj_17_tissif_45_Post","17","tissif","4",45,"I",228,441,1786,4,12,"F","BB","AF",9.4925181948163,20.9381330429327
"129","subj_17_tissif_AF2_15","17","tissif","2",15,"I",239,481,1478,5,11,"F","BB","AF",10.04114568935,19.1351752436735
"130","subj_17_tissif_AF2_31","17","tissif","2",31,"I",260,527,1141,5,9,"F","BB","AF",10.6371543010798,16.7714385719211
"131","subj_17_tissif_AF2_49","17","tissif","2",49,"I",247,503,1418,5,11,"F","BB","AF",10.3306145840164,18.7381459583996
"132","subj_17_tissif_Pre_14","17","tissif","1",14,"I",231,451,1853,5,12,"F","BB","AF",9.63249717374334,21.2818868679727
"133","subj_17_tissif_Pre_2","17","tissif","1",2,"I",239,469,1966,5,13,"F","BB","AF",9.87966933360082,21.8369085284511
"134","subj_17_tissif_Pre_29","17","tissif","1",29,"I",231,459,1867,5,12,"F","BB","AF",9.7430999012877,21.3479810799167
"135","subj_18_kiggif_10_Post","18","kiggif","4",10,"I",308,327,2639,3,15,"F","NB","MN",7.74337409209886,24.8334173548144
"136","subj_18_kiggif_15_Post","18","kiggif","4",15,"I",243,360,2653,4,15,"F","NB","MN",8.28129142952579,24.8617486845757
"137","subj_18_kiggif_16_Post","18","kiggif","4",16,"I",263,294,2646,3,15,"F","NB","MN",7.1756803644229,24.8844716653629
"138","subj_18_kiggif_MN1_22","18","kiggif","2",22,"I",264,458,2126,5,13,"F","NB","MN",9.72934067325115,22.6032436955624
"139","subj_18_kiggif_MN1_45","18","kiggif","2",45,"I",293,562,2406,5,14,"F","NB","MN",11.0679894903672,23.7411500072177
"140","subj_18_kiggif_MN1_52","18","kiggif","2",52,"I",342,352,2568,4,15,"F","NB","MN",8.15346044563959,24.5427928878498
"141","subj_18_kiggif_Pre_31","18","kiggif","1",31,"I",235,433,2409,4,14,"F","NB","MN",9.37912254550143,23.8484112584106
"142","subj_18_kiggif_Pre_51","18","kiggif","1",51,"I",231,363,2594,4,15,"F","NB","MN",8.32881868660147,24.63500979849
"143","subj_18_kiggif_Pre_9","18","kiggif","1",9,"I",236,353,2235,4,14,"F","NB","MN",8.16952702340298,23.1695461547976
"144","subj_18_piffif_35_Post","18","piffif","4",35,"I",301,309,2396,3,14,"F","NB","MN",7.43761531094621,23.8869432578885
"145","subj_18_piffif_49_Post","18","piffif","4",49,"I",321,328,2407,3,14,"F","NB","MN",7.76009657205314,23.9180742387268
"146","subj_18_piffif_9_Post","18","piffif","4",9,"I",231,307,2541,3,15,"F","NB","MN",7.40307354739233,24.4710689945602
"147","subj_18_piffif_MN1_12","18","piffif","2",12,"I",305,307,2420,3,14,"F","NB","MN",7.40307354739233,23.9869932466203
"148","subj_18_piffif_MN1_21","18","piffif","2",21,"I",346,348,2427,4,14,"F","NB","MN",8.08894051440825,23.9850606078982
"149","subj_18_piffif_MN1_28","18","piffif","2",28,"I",288,295,2430,3,14,"F","NB","MN",7.19335158140722,24.0367517328383
"150","subj_18_piffif_Pre_23","18","piffif","1",23,"I",246,290,2416,3,14,"F","NB","MN",7.10469082138879,23.9833044491099
"151","subj_18_piffif_Pre_49","18","piffif","1",49,"I",219,347,2385,4,14,"F","NB","MN",8.07274674156564,23.8131956206434
