fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_33_kiggif_Pre_1	I	145	341	2030	4	13
subj_33_kiggif_Pre_37	I	145	342	1979	4	13
subj_33_kiggif_Pre_44	I	132	350	1976	4	13
subj_33_piffif_14_Post	I	120	380	1790	4	12
subj_33_piffif_38_Post	I	84	395	1776	4	12
subj_33_piffif_AF2_15	I	148	357	1321	4	10
subj_33_piffif_AF2_26	I	162	409	1310	4	10
subj_33_piffif_AF2_37	I	145	410	1465	4	11
subj_33_piffif_MN1_1	I	159	415	1472	4	11
subj_33_piffif_MN1_25	I	140	415	1526	4	11
subj_33_piffif_MN1_7	I	140	412	1352	4	10
subj_33_piffif_Pre_20	I	144	401	1783	4	12
subj_33_piffif_Pre_23	I	134	375	1844	4	12
subj_33_piffif_Pre_32	I	141	387	1803	4	12
subj_33_tissif_2_Post	I	120	370	1814	4	12
subj_33_tissif_3_Post	I	112	391	1846	4	12
subj_33_tissif_5_Post	I	123	372	1794	4	12
subj_33_tissif_AF2_28	I	141	381	1586	4	11
subj_33_tissif_AF2_41	I	131	380	1781	4	12
subj_33_tissif_AF2_51	I	131	388	1622	4	12
subj_33_tissif_MN1_16	I	137	406	1603	4	11
subj_33_tissif_MN1_17	I	132	399	1449	4	11
subj_33_tissif_MN1_42	I	142	404	1537	4	11
subj_33_tissif_Pre_11	I	155	193	1970	2	13
subj_33_tissif_Pre_30	I	143	380	1874	4	12
subj_3_kiggif_18_Post	I	144	425	1738	4	12
subj_3_kiggif_25_Post	I	140	425	1660	4	12
subj_3_kiggif_49_Post	I	141	405	1861	4	12
subj_3_kiggif_AF2_16	I	143	351	2112	4	13
subj_3_kiggif_MN1_2	I	187	408	1844	4	12
subj_3_kiggif_MN1_42	I	173	480	1856	5	12
subj_3_kiggif_MN1_8	I	200	367	2047	4	13
subj_3_kiggif_Pre_18	I	148	376	2042	4	13
subj_3_kiggif_Pre_34	I	162	377	2012	4	13
subj_3_kiggif_Pre_5	I	156	344	2050	4	13
subj_3_piffif_15_Post	I	144	360	1867	4	12
subj_3_piffif_24_Post	I	141	424	1591	4	11
subj_3_piffif_38_Post	I	137	407	1671	4	12
subj_3_piffif_AF2_24	I	137	407	1748	4	12
subj_3_piffif_AF2_29	I	133	416	1789	4	12
subj_3_piffif_AF2_48	I	143	391	1849	4	12
subj_3_piffif_MN1_29	I	184	441	1641	4	12
subj_3_piffif_MN1_35	I	175	483	1656	5	12
subj_3_piffif_MN1_41	I	176	465	1610	5	11
subj_3_piffif_Pre_2	I	150	410	1778	4	12
subj_3_piffif_Pre_36	I	145	387	1739	4	12
subj_3_piffif_Pre_7	I	140	399	1681	4	12
subj_3_tissif_29_Post	I	132	456	1725	5	12
subj_3_tissif_32_Post	I	136	400	1779	4	12
