fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_2_piffif_Pre_0	I	145	389	1819	2150	3594	4	12	13	17
subj_2_piffif_Pre_10	I	134	377	1881	2415	3556	4	12	14	17
subj_2_piffif_Pre_33	I	141	388	1924	2544	3635	4	13	15	17
subj_2_tissif_35_Post	I	156	383	1851	2644	3150	4	12	15	16
subj_2_tissif_4_Post	I	162	315	1817	2555	3624	3	12	15	17
subj_2_tissif_52_Post	I	141	397	1801	2492	3507	4	12	14	17
subj_2_tissif_AF2_22	I	232	410	1044	2171	3715	4	9	13	17
subj_2_tissif_AF2_31	I	208	426	1349	2140	3704	4	10	13	17
subj_2_tissif_AF2_40	I	165	406	1188	2023	3596	4	10	13	17
subj_2_tissif_MN1_30	I	237	478	1445	2004	3458	5	11	13	17
subj_2_tissif_MN1_39	I	228	467	1358	1841	3501	5	10	12	17
subj_2_tissif_MN1_47	I	236	479	1530	2029	3041	5	11	13	16
subj_2_tissif_Pre_20	I	134	387	1891	2630	4176	4	13	15	18
subj_2_tissif_Pre_31	I	131	477	1996	2865	4178	4	13	15	18
subj_2_tissif_Pre_46	I	140	355	1929	2679	4073	4	13	15	18
subj_33_kiggif_32_Post	I	119	351	2019	2520	3489	4	13	14	17
subj_33_kiggif_39_Post	I	123	345	1979	2695	3411	4	13	15	17
subj_33_kiggif_51_Post	I	82	391	1769	2263	3416	4	12	14	17
subj_33_kiggif_AF2_17	I	149	383	1581	1975	3549	4	11	13	17
subj_33_kiggif_AF2_24	I	143	352	1508	2020	3562	4	11	13	17
subj_33_kiggif_AF2_39	I	140	408	1569	2280	3340	4	11	14	16
subj_33_kiggif_MN1_0	I	156	365	1675	1905	3380	4	12	13	16
subj_33_kiggif_MN1_27	I	142	409	1877	2086	3632	4	12	13	17
subj_33_kiggif_MN1_34	I	141	422	1547	2307	3351	4	11	14	16
subj_33_kiggif_Pre_1	I	145	341	2030	2807	3530	4	13	15	17
subj_33_kiggif_Pre_37	I	145	342	1979	2548	3491	4	13	15	17
subj_33_kiggif_Pre_44	I	132	350	1976	2667	3621	4	13	15	17
