"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4Hz","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB","AF"
"101","subj_15_tissif_7_Post",15,"tissif","4","7","I","171",381,2145,2997,4233,4,13,16,18,"F","BB","AF"
"102","subj_15_tissif_AF2_10",15,"tissif","2","10","I","220",695,1532,2643,3025,7,11,15,16,"F","BB","AF"
"103","subj_15_tissif_AF2_14",15,"tissif","2","14","I","227",685,1493,2806,2895,6,11,15,15,"F","BB","AF"
"104","subj_15_tissif_AF2_22",15,"tissif","2","22","I","252",664,1501,2657,3104,6,11,15,16,"F","BB","AF"
"105","subj_15_tissif_Pre_15",15,"tissif","1","15","I","276",548,2018,3012,4381,5,13,16,18,"F","BB","AF"
"106","subj_15_tissif_Pre_39",15,"tissif","1","39","I","274",603,2180,3026,4300,6,13,16,18,"F","BB","AF"
"107","subj_15_tissif_Pre_46",15,"tissif","1","46","I","264",531,2081,2990,3425,5,13,16,16,"F","BB","AF"
"108","subj_17_kiggif_1_Post",17,"kiggif","4","1","I","249",417,2222,2614,3758,4,14,15,17,"F","BB","AF"
"109","subj_17_kiggif_26_Post",17,"kiggif","4","26","I","224",435,2209,2752,3623,4,14,15,17,"F","BB","AF"
"110","subj_17_kiggif_46_Post",17,"kiggif","4","46","I","205",411,2042,2618,3551,4,13,15,17,"F","BB","AF"
"111","subj_17_kiggif_AF2_39",17,"kiggif","2","39","I","288",378,1460,2326,3504,4,11,14,17,"F","BB","AF"
"112","subj_17_kiggif_AF2_40",17,"kiggif","2","40","I","273",537,1702,2228,3640,5,12,14,17,"F","BB","AF"
"113","subj_17_kiggif_AF2_52",17,"kiggif","2","52","I","251",511,1543,2245,3700,5,11,14,17,"F","BB","AF"
"114","subj_17_kiggif_Pre_20",17,"kiggif","1","20","I","238",449,2210,2992,3788,5,14,16,17,"F","BB","AF"
"115","subj_17_kiggif_Pre_47",17,"kiggif","1","47","I","237",451,2144,2722,3709,5,13,15,17,"F","BB","AF"
"116","subj_17_kiggif_Pre_8",17,"kiggif","1","8","I","232",450,2205,2846,3696,5,14,15,17,"F","BB","AF"
"117","subj_17_piffif_3_Post",17,"piffif","4","3","I","231",465,1932,2672,3805,5,13,15,17,"F","BB","AF"
"118","subj_17_piffif_44_Post",17,"piffif","4","44","I","231",474,1843,2656,4171,5,12,15,18,"F","BB","AF"
"119","subj_17_piffif_50_Post",17,"piffif","4","50","I","215",441,1871,2604,3523,4,12,15,17,"F","BB","AF"
"120","subj_17_piffif_AF2_22",17,"piffif","2","22","I","264",469,1331,2746,3690,5,10,15,17,"F","BB","AF"
"121","subj_17_piffif_AF2_29",17,"piffif","2","29","I","266",365,1305,2566,3727,4,10,15,17,"F","BB","AF"
"122","subj_17_piffif_AF2_50",17,"piffif","2","50","I","246",495,1240,2222,3772,5,10,14,17,"F","BB","AF"
"123","subj_17_piffif_Pre_19",17,"piffif","1","19","I","246",485,1840,2716,3918,5,12,15,17,"F","BB","AF"
"124","subj_17_piffif_Pre_51",17,"piffif","1","51","I","243",481,1948,2693,4019,5,13,15,18,"F","BB","AF"
"125","subj_17_piffif_Pre_7",17,"piffif","1","7","I","239",474,1991,2641,3814,5,13,15,17,"F","BB","AF"
"126","subj_17_tissif_2_Post",17,"tissif","4","2","I","245",481,1854,2856,3986,5,12,15,18,"F","BB","AF"
"127","subj_17_tissif_38_Post",17,"tissif","4","38","I","207",416,1803,2820,3987,4,12,15,18,"F","BB","AF"
"128","subj_17_tissif_45_Post",17,"tissif","4","45","I","228",441,1786,2855,4107,4,12,15,18,"F","BB","AF"
"129","subj_17_tissif_AF2_15",17,"tissif","2","15","I","239",481,1478,2550,3553,5,11,15,17,"F","BB","AF"
"130","subj_17_tissif_AF2_31",17,"tissif","2","31","I","260",527,1141,2785,3745,5,9,15,17,"F","BB","AF"
"131","subj_17_tissif_AF2_49",17,"tissif","2","49","I","247",503,1418,2250,3711,5,11,14,17,"F","BB","AF"
"132","subj_17_tissif_Pre_14",17,"tissif","1","14","I","231",451,1853,2773,3798,5,12,15,17,"F","BB","AF"
"133","subj_17_tissif_Pre_2",17,"tissif","1","2","I","239",469,1966,2894,4166,5,13,15,18,"F","BB","AF"
"134","subj_17_tissif_Pre_29",17,"tissif","1","29","I","231",459,1867,2790,3862,5,12,15,17,"F","BB","AF"
"135","subj_18_kiggif_10_Post",18,"kiggif","4","10","I","308",327,2639,2889,3487,3,15,15,17,"F","NB","MN"
"136","subj_18_kiggif_15_Post",18,"kiggif","4","15","I","243",360,2653,2819,3910,4,15,15,17,"F","NB","MN"
"137","subj_18_kiggif_16_Post",18,"kiggif","4","16","I","263",294,2646,3061,3585,3,15,16,17,"F","NB","MN"
"138","subj_18_kiggif_MN1_22",18,"kiggif","2","22","I","264",458,2126,2843,3832,5,13,15,17,"F","NB","MN"
"139","subj_18_kiggif_MN1_45",18,"kiggif","2","45","I","293",562,2406,2825,3819,5,14,15,17,"F","NB","MN"
"140","subj_18_kiggif_MN1_52",18,"kiggif","2","52","I","342",352,2568,3018,3555,4,15,16,17,"F","NB","MN"
"141","subj_18_kiggif_Pre_31",18,"kiggif","1","31","I","235",433,2409,2797,3758,4,14,15,17,"F","NB","MN"
"142","subj_18_kiggif_Pre_51",18,"kiggif","1","51","I","231",363,2594,3108,3738,4,15,16,17,"F","NB","MN"
"143","subj_18_kiggif_Pre_9",18,"kiggif","1","9","I","236",353,2235,2923,3745,4,14,15,17,"F","NB","MN"
"144","subj_18_piffif_35_Post",18,"piffif","4","35","I","301",309,2396,2941,3784,3,14,16,17,"F","NB","MN"
"145","subj_18_piffif_49_Post",18,"piffif","4","49","I","321",328,2407,2757,3713,3,14,15,17,"F","NB","MN"
"146","subj_18_piffif_9_Post",18,"piffif","4","9","I","231",307,2541,2994,3876,3,15,16,17,"F","NB","MN"
"147","subj_18_piffif_MN1_12",18,"piffif","2","12","I","305",307,2420,2768,3815,3,14,15,17,"F","NB","MN"
"148","subj_18_piffif_MN1_21",18,"piffif","2","21","I","346",348,2427,2611,3569,4,14,15,17,"F","NB","MN"
"149","subj_18_piffif_MN1_28",18,"piffif","2","28","I","288",295,2430,2811,3753,3,14,15,17,"F","NB","MN"
"150","subj_18_piffif_Pre_23",18,"piffif","1","23","I","246",290,2416,2904,3866,3,14,15,17,"F","NB","MN"
"151","subj_18_piffif_Pre_49",18,"piffif","1","49","I","219",347,2385,3049,3820,4,14,16,17,"F","NB","MN"
"152","subj_18_piffif_Pre_7",18,"piffif","1","7","I","234",400,2217,2990,4299,4,14,16,18,"F","NB","MN"
"153","subj_18_tissif_21_Post",18,"tissif","4","21","I","255",286,2501,3104,3704,3,14,16,17,"F","NB","MN"
"154","subj_18_tissif_25_Post",18,"tissif","4","25","I","266",279,2514,3032,3695,3,14,16,17,"F","NB","MN"
"155","subj_18_tissif_6_Post",18,"tissif","4","6","I","336",345,2219,2939,3797,4,14,15,17,"F","NB","MN"
"156","subj_18_tissif_MN1_13",18,"tissif","2","13","I","275",556,2064,2947,3564,5,13,16,17,"F","NB","MN"
"157","subj_18_tissif_MN1_17",18,"tissif","2","17","I","332",335,2334,2999,3806,3,14,16,17,"F","NB","MN"
"158","subj_18_tissif_MN1_51",18,"tissif","2","51","I","357",361,2373,2821,3521,4,14,15,17,"F","NB","MN"
"159","subj_18_tissif_Pre_33",18,"tissif","1","33","I","230",325,2353,2927,3931,3,14,15,17,"F","NB","MN"
"160","subj_18_tissif_Pre_42",18,"tissif","1","42","I","264",305,2393,2921,3741,3,14,15,17,"F","NB","MN"
"161","subj_18_tissif_Pre_47",18,"tissif","1","47","I","233",313,2564,3182,3812,3,15,16,17,"F","NB","MN"
"162","subj_19_kiggif_19_Post",19,"kiggif","4","19","I","242",457,2355,3185,4015,5,14,16,18,"F","BB","AF"
"163","subj_19_kiggif_38_Post",19,"kiggif","4","38","I","226",401,2271,3080,4141,4,14,16,18,"F","BB","AF"
"164","subj_19_kiggif_52_Post",19,"kiggif","4","52","I","211",430,2130,3288,3742,4,13,16,17,"F","BB","AF"
"165","subj_19_kiggif_AF2_29",19,"kiggif","2","29","I","237",450,1183,2682,4123,5,10,15,18,"F","BB","AF"
"166","subj_19_kiggif_AF2_6",19,"kiggif","2","6","I","255",494,1517,2766,3778,5,11,15,17,"F","BB","AF"
"167","subj_19_kiggif_AF2_8",19,"kiggif","2","8","I","239",447,1457,2735,3818,4,11,15,17,"F","BB","AF"
"168","subj_19_kiggif_Pre_0",19,"kiggif","1","0","I","231",368,2389,3340,4072,4,14,16,18,"F","BB","AF"
"169","subj_19_kiggif_Pre_10",19,"kiggif","1","10","I","229",425,2360,3151,4036,4,14,16,18,"F","BB","AF"
"170","subj_19_kiggif_Pre_8",19,"kiggif","1","8","I","230",423,2426,3095,4224,4,14,16,18,"F","BB","AF"
"171","subj_19_piffif_17_Post",19,"piffif","4","17","I","233",430,2080,2778,3839,4,13,15,17,"F","BB","AF"
"172","subj_19_piffif_36_Post",19,"piffif","4","36","I","229",434,2044,2826,3364,4,13,15,16,"F","BB","AF"
"173","subj_19_piffif_8_Post",19,"piffif","4","8","I","222",427,2102,2907,3977,4,13,15,18,"F","BB","AF"
"174","subj_19_piffif_AF2_23",19,"piffif","2","23","I","252",497,1505,2469,3867,5,11,14,17,"F","BB","AF"
"175","subj_19_piffif_AF2_35",19,"piffif","2","35","I","234",438,1438,2458,3699,4,11,14,17,"F","BB","AF"
"176","subj_19_piffif_AF2_41",19,"piffif","2","41","I","253",498,1479,2547,3982,5,11,15,18,"F","BB","AF"
"177","subj_19_piffif_Pre_21",19,"piffif","1","21","I","227",427,2071,2799,3979,4,13,15,18,"F","BB","AF"
"178","subj_19_piffif_Pre_32",19,"piffif","1","32","I","223",423,2076,2808,3936,4,13,15,18,"F","BB","AF"
"179","subj_19_piffif_Pre_6",19,"piffif","1","6","I","234",429,2170,2576,3584,4,13,15,17,"F","BB","AF"
"180","subj_19_tissif_1_Post",19,"tissif","4","1","I","235",453,2121,2974,4028,5,13,16,18,"F","BB","AF"
"181","subj_19_tissif_31_Post",19,"tissif","4","31","I","221",423,2017,2963,4012,4,13,16,18,"F","BB","AF"
"182","subj_19_tissif_6_Post",19,"tissif","4","6","I","240",470,1988,2949,4091,5,13,16,18,"F","BB","AF"
"183","subj_19_tissif_AF2_17",19,"tissif","2","17","I","229",448,1417,2598,3703,5,11,15,17,"F","BB","AF"
"184","subj_19_tissif_AF2_38",19,"tissif","2","38","I","254",495,1490,2539,3815,5,11,15,17,"F","BB","AF"
"185","subj_19_tissif_AF2_52",19,"tissif","2","52","I","217",439,1498,2603,4006,4,11,15,18,"F","BB","AF"
"186","subj_19_tissif_Pre_16",19,"tissif","1","16","I","226",416,2040,2974,4052,4,13,16,18,"F","BB","AF"
"187","subj_19_tissif_Pre_20",19,"tissif","1","20","I","227",437,1999,2961,4103,4,13,16,18,"F","BB","AF"
"188","subj_19_tissif_Pre_52",19,"tissif","1","52","I","230",430,2035,3046,4266,4,13,16,18,"F","BB","AF"
"189","subj_1_kiggif_28_Post",1,"kiggif","4","28","I","255",342,2488,3135,3959,4,14,16,18,"F","NB","MN"
"190","subj_1_kiggif_35_Post",1,"kiggif","4","35","I","266",292,2400,2791,4003,3,14,15,18,"F","NB","MN"
"191","subj_1_kiggif_48_Post",1,"kiggif","4","48","I","261",390,2344,2963,3912,4,14,16,17,"F","NB","MN"
"192","subj_1_kiggif_MN1_43",1,"kiggif","2","43","I","289",495,2273,2816,3553,5,14,15,17,"F","NB","MN"
"193","subj_1_kiggif_MN1_52",1,"kiggif","2","52","I","274",510,2218,2768,3524,5,14,15,17,"F","NB","MN"
"194","subj_1_kiggif_Pre_17",1,"kiggif","1","17","I","249",468,2436,2719,3988,5,14,15,18,"F","NB","MN"
"195","subj_1_kiggif_Pre_3",1,"kiggif","1","3","I","256",360,2371,2700,3567,4,14,15,17,"F","NB","MN"
"196","subj_1_kiggif_Pre_37",1,"kiggif","1","37","I","253",441,2424,2948,3919,4,14,16,17,"F","NB","MN"
"197","subj_1_piffif_29_Post",1,"piffif","4","29","I","267",425,2139,2917,4098,4,13,15,18,"F","NB","MN"
"198","subj_1_piffif_34_Post",1,"piffif","4","34","I","261",406,2061,2742,3823,4,13,15,17,"F","NB","MN"
"199","subj_1_piffif_49_Post",1,"piffif","4","49","I","253",439,1953,2599,3761,4,13,15,17,"F","NB","MN"
"200","subj_1_piffif_MN1_30",1,"piffif","2","30","I","283",577,1948,2735,3654,6,13,15,17,"F","NB","MN"
"201","subj_1_piffif_MN1_38",1,"piffif","2","38","I","272",545,1995,2735,3756,5,13,15,17,"F","NB","MN"
"202","subj_1_piffif_MN1_6",1,"piffif","2","6","I","273",521,1959,2684,3717,5,13,15,17,"F","NB","MN"
"203","subj_1_piffif_Pre_11",1,"piffif","1","11","I","252",479,1974,2580,3699,5,13,15,17,"F","NB","MN"
"204","subj_1_piffif_Pre_25",1,"piffif","1","25","I","252",476,2039,2689,3736,5,13,15,17,"F","NB","MN"
"205","subj_1_piffif_Pre_35",1,"piffif","1","35","I","246",492,1983,2705,3828,5,13,15,17,"F","NB","MN"
"206","subj_1_tissif_13_Post",1,"tissif","4","13","I","269",343,2150,2957,4018,4,13,16,18,"F","NB","MN"
"207","subj_1_tissif_16_Post",1,"tissif","4","16","I","267",347,2145,2934,4155,4,13,15,18,"F","NB","MN"
"208","subj_1_tissif_2_Post",1,"tissif","4","2","I","264",343,2150,2797,4050,4,13,15,18,"F","NB","MN"
"209","subj_1_tissif_MN1_14",1,"tissif","2","14","I","295",550,2028,2885,3667,5,13,15,17,"F","NB","MN"
"210","subj_1_tissif_MN1_35",1,"tissif","2","35","I","270",549,1948,2804,3622,5,13,15,17,"F","NB","MN"
"211","subj_1_tissif_MN1_49",1,"tissif","2","49","I","295",589,2051,2952,3870,6,13,16,17,"F","NB","MN"
"212","subj_1_tissif_Pre_34",1,"tissif","1","34","I","250",464,2071,2812,4042,5,13,15,18,"F","NB","MN"
"213","subj_1_tissif_Pre_9",1,"tissif","1","9","I","251",486,2049,2944,4337,5,13,16,18,"F","NB","MN"
