fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_28_keggif_Pre_1	E	195	542	2517	5	14
subj_28_keggif_Pre_21	E	188	451	2438	5	14
subj_28_keggif_Pre_52	E	182	309	2029	3	13
subj_28_tessif_38_Post	E	178	420	1822	4	12
subj_28_tessif_45_Post	E	217	496	1711	5	12
subj_28_tessif_8_Post	E	187	348	1497	4	11
subj_28_tessif_AF2_23	E	215	508	1417	5	11
subj_28_tessif_AF2_27	E	220	458	1348	5	10
subj_28_tessif_AF2_28	E	223	495	1305	5	10
subj_28_tessif_MN1_1	E	240	706	1511	7	11
subj_28_tessif_MN1_46	E	265	607	1309	6	10
subj_28_tessif_MN1_47	E	256	628	1392	6	11
subj_28_tessif_Pre_16	E	191	469	1911	5	13
subj_28_tessif_Pre_45	E	206	487	2129	5	13
subj_28_tessif_Pre_9	E	193	550	2272	5	14
subj_30_keggif_16_Post	E	249	563	2012	5	13
subj_30_keggif_46_Post	E	267	578	1830	6	12
subj_30_keggif_6_Post	E	247	640	1934	6	13
subj_30_keggif_AF2_18	E	249	579	1970	6	13
subj_30_keggif_AF2_42	E	268	626	1843	6	12
subj_30_keggif_AF2_6	E	257	563	2051	5	13
subj_30_keggif_MN1_11	E	286	680	1999	6	13
subj_30_keggif_MN1_31	E	280	618	1977	6	13
subj_30_keggif_MN1_33	E	263	712	2101	7	13
subj_30_keggif_Pre_16	E	259	641	1996	6	13
subj_30_keggif_Pre_20	E	233	616	1931	6	13
subj_30_keggif_Pre_8	E	232	549	2089	5	13
subj_30_tessif_28_Post	E	246	612	1821	6	12
subj_30_tessif_42_Post	E	258	638	1754	6	12
subj_30_tessif_48_Post	E	237	625	1846	6	12
subj_30_tessif_AF2_20	E	242	560	1630	5	12
subj_30_tessif_AF2_3	E	253	559	1722	5	12
subj_30_tessif_AF2_46	E	265	607	1949	6	13
subj_30_tessif_MN1_16	E	273	713	1806	7	12
subj_30_tessif_MN1_2	E	302	735	1672	7	12
subj_30_tessif_MN1_22	E	276	638	1702	6	12
subj_30_tessif_Pre_11	E	229	514	1649	5	12
subj_30_tessif_Pre_26	E	236	650	1802	6	12
subj_30_tessif_Pre_39	E	237	505	1719	5	12
subj_31_keggif_16_Post	E	303	689	2121	6	13
subj_31_keggif_42_Post	E	283	736	2090	7	13
subj_31_keggif_51_Post	E	304	743	2127	7	13
subj_31_keggif_AF2_15	E	285	657	2221	6	14
subj_31_keggif_AF2_28	E	272	790	2172	7	13
subj_31_keggif_AF2_37	E	159	780	2150	7	13
subj_31_keggif_MN1_11	E	304	793	2136	7	13
subj_31_keggif_MN1_30	E	327	770	2056	7	13
subj_31_keggif_MN1_50	E	359	748	2132	7	13
subj_31_keggif_Pre_0	E	262	596	2154	6	13
subj_31_keggif_Pre_1	E	252	596	2248	6	14
subj_31_keggif_Pre_24	E	278	757	2204	7	14
subj_31_tessif_15_Post	E	308	698	1793	7	12
subj_31_tessif_47_Post	E	306	764	2061	7	13
subj_31_tessif_52_Post	E	303	714	2080	7	13
subj_31_tessif_AF2_29	E	141	777	2021	7	13
subj_31_tessif_AF2_51	E	294	742	2037	7	13
subj_31_tessif_AF2_9	E	261	800	2013	7	13
subj_31_tessif_MN1_25	E	339	819	1919	7	13
subj_31_tessif_MN1_29	E	340	780	2013	7	13
subj_31_tessif_MN1_4	E	311	793	1975	7	13
subj_31_tessif_Pre_26	E	131	731	2058	7	13
subj_31_tessif_Pre_47	E	278	656	2056	6	13
subj_31_tessif_Pre_50	E	280	659	1973	6	13
subj_32_keggif_11_Post	E	249	607	2067	6	13
subj_32_keggif_18_Post	E	234	610	2100	6	13
subj_32_keggif_20_Post	E	238	592	1993	6	13
subj_32_keggif_AF2_26	E	229	679	1526	6	11
subj_32_keggif_AF2_32	E	269	660	1647	6	12
subj_32_keggif_AF2_49	E	260	703	1578	7	11
subj_32_keggif_MN1_11	E	255	710	1547	7	11
subj_32_keggif_MN1_20	E	275	625	1536	6	11
subj_32_keggif_MN1_46	E	285	728	1381	7	10
subj_32_keggif_Pre_13	E	204	591	1979	6	13
subj_32_keggif_Pre_20	E	218	615	1982	6	13
subj_32_keggif_Pre_36	E	219	580	2022	6	13
subj_32_tessif_35_Post	E	244	612	1923	6	13
subj_32_tessif_45_Post	E	237	482	1903	5	13
subj_32_tessif_47_Post	E	231	547	1897	5	13
subj_32_tessif_AF2_18	E	254	675	1572	6	11
subj_32_tessif_AF2_27	E	257	701	1590	7	11
subj_32_tessif_AF2_35	E	265	731	1602	7	11
subj_32_tessif_MN1_28	E	287	594	1491	6	11
subj_32_tessif_MN1_38	E	280	568	1438	6	11
subj_32_tessif_MN1_53	E	293	610	1473	6	11
subj_32_tessif_Pre_10	E	220	572	1966	6	13
subj_32_tessif_Pre_30	E	219	602	1939	6	13
subj_32_tessif_Pre_41	E	223	621	1882	6	12
subj_34_keggif_29_Post	E	253	641	1844	6	12
subj_34_keggif_42_Post	E	238	660	2121	6	13
subj_34_keggif_48_Post	E	241	705	2060	7	13
subj_34_keggif_AF2_40	E	255	722	1133	7	9
subj_34_keggif_AF2_44	E	243	718	1173	7	9
subj_34_keggif_AF2_49	E	225	643	1149	6	9
subj_34_keggif_MN1_26	E	328	530	996	5	8
subj_34_keggif_MN1_29	E	288	321	893	3	8
subj_34_keggif_MN1_8	E	270	725	1248	7	10
subj_34_keggif_Pre_26	E	231	576	1846	6	12
subj_34_keggif_Pre_48	E	239	606	1923	6	13
subj_34_keggif_Pre_53	E	246	644	1845	6	12
subj_34_tessif_37_Post	E	241	670	1732	6	12
subj_34_tessif_43_Post	E	234	708	1930	7	13
subj_34_tessif_4_Post	E	244	718	1892	7	13
subj_34_tessif_AF2_18	E	247	634	1193	6	10
subj_34_tessif_AF2_42	E	224	667	1299	6	10
subj_34_tessif_AF2_43	E	228	647	1279	6	10
subj_34_tessif_MN1_28	E	268	279	1109	3	9
subj_34_tessif_Pre_27	E	223	466	1896	5	13
subj_34_tessif_Pre_34	E	242	703	1877	7	12
subj_34_tessif_Pre_43	E	232	669	2009	6	13
subj_35_keggif_33_Post	E	204	516	2083	5	13
subj_35_keggif_38_Post	E	209	488	2258	5	14
subj_35_keggif_8_Post	E	195	568	2146	6	13
subj_35_keggif_AF2_25	E	222	499	2203	5	14
subj_35_keggif_AF2_39	E	208	563	2152	5	13
subj_35_keggif_AF2_8	E	222	554	2272	5	14
subj_35_keggif_MN1_13	E	198	605	2052	6	13
subj_35_keggif_MN1_35	E	194	613	2143	6	13
subj_35_keggif_MN1_52	E	209	721	2080	7	13
subj_35_keggif_Pre_33	E	243	585	2191	6	14
subj_35_keggif_Pre_39	E	278	629	2242	6	14
subj_35_keggif_Pre_43	E	286	637	2275	6	14
subj_35_tessif_13_Post	E	193	577	2019	6	13
subj_35_tessif_15_Post	E	206	632	2048	6	13
subj_35_tessif_50_Post	E	199	512	1934	5	13
subj_35_tessif_AF2_27	E	218	482	1949	5	13
subj_35_tessif_AF2_42	E	210	464	1913	5	13
subj_35_tessif_AF2_51	E	210	524	2028	5	13
