"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"73","subj_14_kiggif_48_Post",14,"kiggif","Post","48","I","250",483,2204,3188,3780,5,14,16,17,"F","BB"
"74","subj_14_kiggif_AF2_39",14,"kiggif","AF2","39","I","254",365,1609,2876,4128,4,11,15,18,"F","BB"
"75","subj_14_kiggif_AF2_7",14,"kiggif","AF2","7","I","263",356,1442,2612,3106,4,11,15,16,"F","BB"
"76","subj_14_kiggif_AF2_9",14,"kiggif","AF2","9","I","251",426,1518,2962,3680,4,11,16,17,"F","BB"
"77","subj_14_kiggif_MN1_25",14,"kiggif","MN1","25","I","251",415,1500,2990,4097,4,11,16,18,"F","BB"
"78","subj_14_kiggif_MN1_33",14,"kiggif","MN1","33","I","251",431,1181,2921,4016,4,9,15,18,"F","BB"
"79","subj_14_kiggif_MN1_36",14,"kiggif","MN1","36","I","283",416,957,2817,3766,4,8,15,17,"F","BB"
"80","subj_14_kiggif_Pre_14",14,"kiggif","Pre","14","I","245",464,2497,3268,4093,5,14,16,18,"F","BB"
"81","subj_14_kiggif_Pre_33",14,"kiggif","Pre","33","I","278",321,2578,3083,3802,3,15,16,17,"F","BB"
"82","subj_14_kiggif_Pre_48",14,"kiggif","Pre","48","I","257",425,2679,3351,4143,4,15,16,18,"F","BB"
"83","subj_14_piffif_19_Post",14,"piffif","Post","19","I","252",497,2180,3091,4011,5,13,16,18,"F","BB"
"84","subj_14_piffif_25_Post",14,"piffif","Post","25","I","247",484,2166,3020,4196,5,13,16,18,"F","BB"
"85","subj_14_piffif_45_Post",14,"piffif","Post","45","I","256",490,2173,2971,3947,5,13,16,18,"F","BB"
"86","subj_14_piffif_AF2_20",14,"piffif","AF2","20","I","265",303,1697,2931,4160,3,12,15,18,"F","BB"
"87","subj_14_piffif_AF2_23",14,"piffif","AF2","23","I","276",293,1863,2481,3524,3,12,14,17,"F","BB"
"88","subj_14_piffif_AF2_52",14,"piffif","AF2","52","I","257",365,1664,2939,4014,4,12,15,18,"F","BB"
"89","subj_14_piffif_MN1_27",14,"piffif","MN1","27","I","250",433,1724,2965,4185,4,12,16,18,"F","BB"
"90","subj_14_piffif_MN1_35",14,"piffif","MN1","35","I","267",334,1425,2951,4264,3,11,16,18,"F","BB"
"91","subj_14_piffif_MN1_41",14,"piffif","MN1","41","I","246",444,1787,2880,4120,4,12,15,18,"F","BB"
"92","subj_14_piffif_Pre_10",14,"piffif","Pre","10","I","248",476,2273,3062,4117,5,14,16,18,"F","BB"
"93","subj_14_piffif_Pre_24",14,"piffif","Pre","24","I","252",491,2400,3150,4048,5,14,16,18,"F","BB"
"94","subj_14_piffif_Pre_30",14,"piffif","Pre","30","I","250",478,2312,3113,4077,5,14,16,18,"F","BB"
"95","subj_14_tissif_2_Post",14,"tissif","Post","2","I","238",461,2244,3133,4060,5,14,16,18,"F","BB"
"96","subj_14_tissif_34_Post",14,"tissif","Post","34","I","261",500,2108,3065,3941,5,13,16,18,"F","BB"
"97","subj_14_tissif_38_Post",14,"tissif","Post","38","I","253",499,2178,3052,4036,5,13,16,18,"F","BB"
"98","subj_14_tissif_AF2_2",14,"tissif","AF2","2","I","235",360,1432,2966,4008,4,11,16,18,"F","BB"
"99","subj_14_tissif_AF2_38",14,"tissif","AF2","38","I","260",308,1332,2914,3969,3,10,15,18,"F","BB"
"100","subj_14_tissif_AF2_44",14,"tissif","AF2","44","I","135",448,1636,2942,4100,5,12,16,18,"F","BB"
"101","subj_14_tissif_MN1_22",14,"tissif","MN1","22","I","263",297,1533,3014,4026,3,11,16,18,"F","BB"
